,autore_source,autore_target
0,2725216048,479645115
1,877853257783287808,479645115
2,1034513600,479645115
3,906045619,479645115
4,1317907940,479645115
5,3176594760,479645115
6,986292469682855938,479645115
7,1036560565,479645115
8,2408803254,479645115
9,468720469,479645115
10,1070275714073677824,479645115
11,1224294333127569408,479645115
12,511725971,479645115
13,845313296,479645115
14,188043254,479645115
15,791242056,479645115
16,3138188655,479645115
17,475234937,2971867924
18,1317907940,1241515700423995393
19,845313296,1241515700423995393
20,273686840,504273161
21,1101930859752579073,475234937
22,1317907940,475234937
23,839559591746801667,475234937
24,1253076614088478720,475234937
25,904438692,475234937
26,460611317,475234937
27,1101930859752579073,2415662937
28,3047103415,1217048310902677504
29,981843302432608257,1217048310902677504
30,1101930859752579073,1073339297355456512
31,3003900628,1229509475410862087
32,481624795,2716387360
33,2322424306,2716387360
34,483051922,2716387360
35,2348635034,2716387360
36,1017974048,802498910795218945
37,1164806557709697026,523630136
38,414108131,523630136
39,2862250054,523630136
40,3327831430,523630136
41,4160203479,523630136
42,2189394718,523630136
43,1265720509133721601,523630136
44,1235252502733484035,523630136
45,973726963,523630136
46,967221344395059200,523630136
47,2954454747,1326518220
48,129272788,735456263312691200
49,1610780311,53364422
50,1158416131050364928,53364422
51,2415755633,53364422
52,1315395996,53364422
53,960819725856059393,53364422
54,350810508,53364422
55,1241971876395712512,53364422
56,951064045586714624,53364422
57,1086691638,53364422
58,440247035,53364422
59,2887988230,53364422
60,1054832415800246272,53364422
61,972612694338662401,53364422
62,856041932832874497,53364422
63,710579736519512064,53364422
64,799007315034800128,53364422
65,749529599252586496,53364422
66,1238014383512485890,53364422
67,4900894731,53364422
68,254969508,53364422
69,1858048118,53364422
70,1193780617,53364422
71,2459519979,53364422
72,859500037981835264,53364422
73,538358467,53364422
74,593817814,53364422
75,1470706141,53364422
76,1069252327654268928,53364422
77,1901258058,53364422
78,1068728030,53364422
79,977960755919228928,53364422
80,968835458,53364422
81,1172571984967942146,53364422
82,273897097,53364422
83,1109789138,53364422
84,57358236,53364422
85,460611317,53364422
86,821879334,53364422
87,9437162,53364422
88,541162463,53364422
89,62285317,53364422
90,1063806444380798976,53364422
91,839559591746801667,53364422
92,365647664,53364422
93,492602588,53364422
94,599039512,53364422
95,1027756003134263296,53364422
96,1125109992,53364422
97,1065341441663295488,53364422
98,1241846534918098946,53364422
99,1253076614088478720,53364422
100,896048840947765249,53364422
101,2535751839,53364422
102,3684132136,53364422
103,827199467304673280,53364422
104,1006635042653786112,523630136
105,1207685548078436352,523630136
106,1202438431328092160,523630136
107,1265720509133721601,523630136
108,973726963,523630136
109,845313296,523630136
110,1269925415264620545,1245289107963678721
111,839559591746801667,1320666829
112,1236977519083114496,317601604
113,1049392167070953472,317601604
114,896479197081853956,317601604
115,832999521739214848,317601604
116,1172571984967942146,317601604
117,1400701532,317601604
118,3069933261,4085520207
119,1172571984967942146,4085520207
120,1063806444380798976,4085520207
121,1223954414807011328,4085520207
122,4342920694,4085520207
123,2437293810,4085520207
124,1387916838,4085520207
125,763146166620057600,4085520207
126,41596418,3017389246
127,2684393184,3412166103
128,1387916838,1245225642003660800
129,1067472089899253762,1245225642003660800
130,2288557992,1245225642003660800
131,2535751839,1245225642003660800
132,1109789138,1245225642003660800
133,972612694338662401,1245225642003660800
134,946972735,1245225642003660800
135,929692860580028419,1245225642003660800
136,460611317,1245225642003660800
137,2459519979,1245225642003660800
138,1063806444380798976,1245225642003660800
139,1037003822,710579736519512064
140,3327831430,710579736519512064
141,1000117978220908544,710579736519512064
142,1029467541624770561,710579736519512064
143,1322543941,710579736519512064
144,1140637996036820992,710579736519512064
145,2322670973,710579736519512064
146,245969509,710579736519512064
147,4832414692,710579736519512064
148,145213815,710579736519512064
149,757989565600858112,710579736519512064
150,1245225642003660800,710579736519512064
151,2535751839,710579736519512064
152,3138188655,731873041983115264
153,447452303,1722707281
154,2902809855,1722707281
155,62285317,1722707281
156,1143894122765438976,1722707281
157,1001381683793457153,1269795319
158,960990213769179137,1269795319
159,2274787244,1269795319
160,1222676508,1269795319
161,1315395996,1269795319
162,827199467304673280,1269795319
163,1172571984967942146,1269795319
164,2753392024,1269795319
165,765979700808286208,1269795319
166,1006635042653786112,1269795319
167,1019397072,1269795319
168,1013117294,1269795319
169,774806549357355008,1269795319
170,763146166620057600,1269795319
171,1172571984967942146,319342552
172,3434295058,225168723
173,927107869325103104,225168723
174,1000780867248279552,225168723
175,1715473062,225168723
176,390170197,225168723
177,483073228,225168723
178,1206626322451238917,225168723
179,822241722,225168723
180,3332212137,1444509260
181,2696189374,1444509260
182,735453078632181760,1444509260
