,autore_source,autore_target
0,100878763,886683069964484609
1,96576495,886683069964484609
2,3676295055,886683069964484609
3,763146166620057600,886683069964484609
4,1063806444380798976,886683069964484609
5,1140637996036820992,886683069964484609
6,580096126,886683069964484609
7,4061316509,886683069964484609
8,1132954639236849665,886683069964484609
9,1042764271552212992,886683069964484609
10,234758833,886683069964484609
11,100878763,1163185103784337413
12,563529644,1163185103784337413
13,513444329,1163185103784337413
14,2459519979,1163185103784337413
15,1134449079478603778,1163185103784337413
16,971409602091864067,1163185103784337413
17,824215230846791680,1163185103784337413
18,1067472089899253762,1163185103784337413
19,1073199771987394560,1163185103784337413
20,715644689622372352,1163185103784337413
21,896048840947765249,1163185103784337413
22,1140637996036820992,1163185103784337413
23,895074662,1163185103784337413
24,200608632,1163185103784337413
25,580096126,1163185103784337413
26,981843302432608257,1163185103784337413
27,1430162268,1163185103784337413
28,1063806444380798976,1163185103784337413
29,359421043,886683069964484609
30,100878763,886683069964484609
31,1042906497129361408,886683069964484609
32,1090595328460509190,886683069964484609
33,3327831430,886683069964484609
34,896048840947765249,886683069964484609
35,738350242597310464,886683069964484609
36,1135251371966509056,886683069964484609
37,3303206327,886683069964484609
38,484592863,886683069964484609
39,886683069964484609,886683069964484609
40,3433460549,886683069964484609
41,345535835,886683069964484609
42,1067472089899253762,886683069964484609
43,497996910,886683069964484609
44,1160520321277054977,886683069964484609
45,1016249336903159808,886683069964484609
46,580096126,886683069964484609
47,1251089251,886683069964484609
48,1027112602751643648,886683069964484609
49,972612694338662401,2464828514
50,873992653704220676,2464828514
51,541670926,2464828514
52,580096126,2464828514
53,896048840947765249,2464828514
54,1140075636574343168,2464828514
55,964865276209713153,2464828514
56,710579736519512064,2464828514
57,2714596672,2464828514
58,2320478792,2464828514
59,3331801624,2464828514
60,1063806444380798976,2464828514
61,1000843531286609920,186385439
62,738350242597310464,186385439
63,850028187379806210,186385439
64,785129133009494021,186385439
65,1105925453792137216,186385439
66,763146166620057600,4085520207
67,576106827,4085520207
68,580096126,4085520207
69,3676295055,4085520207
70,1090595328460509190,4085520207
71,330554495,4085520207
72,1063806444380798976,4085520207
73,444837039,4085520207
74,627375615,4085520207
75,1132954639236849665,4085520207
76,738350242597310464,4085520207
77,273897097,4085520207
78,1000138698032320517,4085520207
79,1042764271552212992,4085520207
80,951064045586714624,4085520207
81,1488627062,4085520207
82,885137148374134784,4085520207
83,994148481773309957,4085520207
84,800991504999313408,4085520207
85,1219944530,4085520207
86,100878763,896048840947765249
87,963128776841457667,896048840947765249
88,1140075636574343168,896048840947765249
89,494488867,896048840947765249
90,1668915986,896048840947765249
91,142213964,896048840947765249
92,100878763,886683069964484609
93,1042906497129361408,886683069964484609
94,836271002,886683069964484609
95,1027756003134263296,886683069964484609
96,3676295055,886683069964484609
97,797374091959406592,886683069964484609
98,896048840947765249,886683069964484609
99,710579736519512064,886683069964484609
100,3888819677,886683069964484609
101,813417974203875328,886683069964484609
102,743658943,886683069964484609
103,2320478792,886683069964484609
104,1090595328460509190,886683069964484609
105,2678632959,886683069964484609
106,2256287230,886683069964484609
107,2954454747,886683069964484609
108,457545957,886683069964484609
109,1003891004028739584,886683069964484609
110,351555225,886683069964484609
111,738350242597310464,886683069964484609
112,1068802416546590721,886683069964484609
113,487711174,886683069964484609
114,902182351463206913,886683069964484609
115,592269529,886683069964484609
116,2267288613,886683069964484609
117,1135251371966509056,886683069964484609
118,1027112602751643648,886683069964484609
119,330554495,886683069964484609
120,1007744827,886683069964484609
121,911663350068711424,886683069964484609
122,906045619,886683069964484609
123,3331801624,886683069964484609
124,576106827,886683069964484609
125,860917372835827716,886683069964484609
126,598772700,886683069964484609
127,1140075636574343168,886683069964484609
128,345535835,886683069964484609
129,945202600051462145,886683069964484609
130,234758833,886683069964484609
131,61703985,886683069964484609
132,580096126,886683069964484609
133,1001152281696456709,886683069964484609
134,785129133009494021,886683069964484609
135,836237598,886683069964484609
136,1036686307714641920,886683069964484609
137,881039666035675137,886683069964484609
138,3676295055,886683069964484609
139,368333719,886683069964484609
140,2381627434,886683069964484609
141,1027756003134263296,886683069964484609
142,1140637996036820992,886683069964484609
143,962654117461184512,886683069964484609
144,4889288669,886683069964484609
145,1032967056,886683069964484609
146,945202600051462145,886683069964484609
147,510097129,886683069964484609
148,20247603,886683069964484609
149,1016249336903159808,886683069964484609
150,580096126,886683069964484609
151,497996910,886683069964484609
152,1320666829,886683069964484609
153,418900998,886683069964484609
154,457889747,886683069964484609
155,435283445,886683069964484609
156,1035376896,141509471
157,1055863542023360512,817794922518609922
158,2378380248,529331509
159,529331509,529331509
160,1133004105767694337,529331509
161,2980684566,529331509
162,703163427947040769,529331509
163,754009621724012544,529331509
164,2252146516,529331509
165,1369859876,529331509
166,1299394213,529331509
167,446380041,529331509
168,3331127301,1847696612
169,972612694338662401,710579736519512064
170,2464828514,710579736519512064
171,896048840947765249,710579736519512064
172,273897097,710579736519512064
173,1017169094850875398,2439937320
174,931551631317061632,2439937320
175,763146166620057600,2439937320
176,2616616618,831463860532027392
177,273897097,831463860532027392
178,1089107530247221249,831463860532027392
179,715644689622372352,831463860532027392
180,23042159,831463860532027392
181,1000843531286609920,831463860532027392
182,716658191300435968,1143211988631375872
183,827199467304673280,1029127514
184,438431990,1029127514
185,2875666577,469212336
186,946858579209973760,469212336
187,4924190242,469212336
188,1068644270968643584,469212336
189,481938301,469212336
190,1179711277,469212336
191,896479197081853956,2161389104
192,1219944530,2161389104
193,580096126,994148481773309957
194,885423468182990848,994148481773309957
195,2470692079,994148481773309957
196,2320478792,994148481773309957
197,881039666035675137,994148481773309957
198,408544727,994148481773309957
199,3888819677,994148481773309957
200,1042906497129361408,886683069964484609
201,3949076176,886683069964484609
202,2847028163,886683069964484609
203,1109789138,886683069964484609
204,3303206327,886683069964484609
205,330554495,886683069964484609
206,440247035,886683069964484609
207,984851042,886683069964484609
208,2381627434,886683069964484609
209,438431990,886683069964484609
210,433717645,886683069964484609
211,1027756003134263296,886683069964484609
212,3331801624,886683069964484609
213,593523410,886683069964484609
214,883605008083759105,886683069964484609
215,824215230846791680,886683069964484609
216,1090595328460509190,886683069964484609
217,2320478792,886683069964484609
218,100878763,886683069964484609
219,317942119,886683069964484609
220,3179223957,886683069964484609
221,886683069964484609,886683069964484609
222,822539018885853187,886683069964484609
223,896465830640275458,886683069964484609
224,382168042,886683069964484609
225,1219944530,886683069964484609
226,961833858097332226,886683069964484609
227,1067472089899253762,886683069964484609
228,23042159,886683069964484609
229,580096126,886683069964484609
230,902182351463206913,886683069964484609
231,1160520321277054977,886683069964484609
232,2595566549,886683069964484609
233,716939268829085696,886683069964484609
234,2665337999,886683069964484609
235,945202600051462145,886683069964484609
236,785129133009494021,886683069964484609
237,2402005955,2150645810
238,148673411,2150645810
239,1972832178,2150645810
