,autore_source,autore_target
0,271838807,493833883
1,869312575179296768,886683069964484609
2,3327831430,886683069964484609
3,710579736519512064,886683069964484609
4,1036686307714641920,886683069964484609
5,327417226,886683069964484609
6,1263042661,886683069964484609
7,70624474,923171889891209217
8,118978778,923171889891209217
9,981843302432608257,923171889891209217
10,345219705,923171889891209217
11,896479197081853956,923171889891209217
12,1063806444380798976,923171889891209217
13,102158193,923171889891209217
14,1057735056175841281,923171889891209217
15,1082967276519870464,923171889891209217
16,3327831430,923171889891209217
17,1068802416546590721,923171889891209217
18,1089107530247221249,923171889891209217
19,2872974977,923171889891209217
20,92260294,923171889891209217
21,273897097,923171889891209217
22,1134464702,923171889891209217
23,327417226,923171889891209217
24,2537295553,923171889891209217
25,2535751839,923171889891209217
26,4549605137,923171889891209217
27,365647664,923171889891209217
28,1090404479604834306,923171889891209217
29,701098945695580161,923171889891209217
30,2354704705,923171889891209217
31,773240110120927232,923171889891209217
32,232297865,923171889891209217
33,467361179,923171889891209217
34,2665337999,923171889891209217
35,972612694338662401,96576495
36,215270850,96576495
37,2954454747,96576495
38,210376076,96576495
39,2537295553,96576495
40,1026457428,96576495
41,1004030031457333253,96576495
42,896048840947765249,96576495
43,467361179,96576495
44,254969508,96576495
45,1133446553023209473,96576495
46,394680267,96576495
47,2615476385,934467465551269894
48,2322670973,2490640097
49,2862730168,2490640097
50,894447750435262464,2490640097
51,1089107530247221249,1007744827
52,521721024,1007744827
53,3433460549,1007744827
54,1068802416546590721,1007744827
55,1219944530,1007744827
56,1310347194,1007744827
57,3327831430,1007744827
58,2535751839,1007744827
59,701098945695580161,1007744827
60,96576495,1007744827
61,1160520321277054977,2490640097
62,896479197081853956,2490640097
63,2490640097,2490640097
64,861666300,2490640097
65,3684132136,2490640097
66,873504593719721989,2490640097
67,1662686167,2490640097
68,2535751839,2490640097
69,327417226,2490640097
70,492397709,2490640097
71,2862730168,2490640097
72,1007674407987417090,2490640097
73,710579736519512064,2490640097
74,998138210,2490640097
75,785129133009494021,2490640097
76,273897097,2490640097
77,896048840947765249,2490640097
78,1029467541624770561,2490640097
79,525587066,2490640097
80,312615662,2490640097
81,4513753401,2490640097
82,4925043633,1444509260
83,1165166586145247233,1444509260
84,812556035709878272,1444509260
85,1113395882,1444509260
86,747062107636637697,1444509260
87,4830229167,1444509260
88,1629678848,1444509260
89,31255401,1444509260
90,1362734466,1444509260
91,1243846381,1444509260
92,580096126,886683069964484609
93,961215618438582273,886683069964484609
94,3327831430,886683069964484609
95,886683069964484609,886683069964484609
96,710579736519512064,886683069964484609
97,721338196639014912,886683069964484609
98,495280453,189910406
99,1013144813783474176,189910406
100,76371648,189910406
101,878470657,189910406
102,1454502163,2836615967
103,275754256,2836615967
104,22188018,2836615967
105,202608127,2836615967
106,896479197081853956,2836615967
107,979100648,2836615967
108,1090595328460509190,2836615967
109,4458653776,2836615967
110,1035959506700783618,2836615967
111,827199467304673280,2836615967
112,1566803234,2836615967
113,210376076,2836615967
114,130502044,2836615967
115,273897097,2836615967
116,2272715355,2836615967
117,869533785733386240,2836615967
118,334082030,2836615967
119,779316037774929921,2836615967
120,827887869104635904,2836615967
121,2313764153,2836615967
122,1045707647440302086,2836615967
123,450480992,2836615967
124,411739086,2836615967
125,350810508,2836615967
126,4085520207,2836615967
127,2732751986,2836615967
128,945202600051462145,2836615967
129,1168168001096552448,954309481
130,273897097,1065341441663295488
131,994148481773309957,1065341441663295488
132,1263042661,1065341441663295488
133,1219944530,1065341441663295488
134,487711174,1065341441663295488
135,1189654234851090434,1065341441663295488
136,57358236,1065341441663295488
137,939404858679091200,469212336
138,806911096678400000,469212336
139,1021332450893541376,469212336
140,417778429,2804233346
141,710579736519512064,994148481773309957
142,710579736519512064,994148481773309957
143,1110091339,1341462944
144,1430585516,1341462944
145,330554495,888397855496568832
146,972612694338662401,888397855496568832
147,1090595328460509190,888397855496568832
148,765979700808286208,888397855496568832
149,330554495,888397855496568832
150,3073944291,888397855496568832
151,330554495,888397855496568832
152,1090595328460509190,888397855496568832
153,824215230846791680,888397855496568832
154,2665337999,886683069964484609
155,2354704705,886683069964484609
156,984482965576089600,886683069964484609
157,1219944530,886683069964484609
158,995669260017045505,886683069964484609
159,1191558961,886683069964484609
160,2203429105,886683069964484609
161,4850023534,886683069964484609
162,493833883,886683069964484609
163,404684500,886683069964484609
164,773240110120927232,886683069964484609
165,467361179,886683069964484609
166,4049929390,886683069964484609
167,1000138698032320517,886683069964484609
168,1183534806,886683069964484609
169,710579736519512064,886683069964484609
170,345535835,886683069964484609
171,350254323,886683069964484609
172,824215230846791680,886683069964484609
173,65922786,886683069964484609
174,111927816,886683069964484609
175,521721024,886683069964484609
176,580096126,886683069964484609
177,330554495,886683069964484609
178,928345597182177286,886683069964484609
179,1093535050757476355,886683069964484609
180,327417226,886683069964484609
181,398032197,886683069964484609
182,2535751839,886683069964484609
183,623687670,886683069964484609
184,1029467541624770561,886683069964484609
185,470180296,886683069964484609
186,1181288004108861441,886683069964484609
187,821829026616606721,4156715535
188,821829026616606721,4156715535
189,433789331,2583615968
190,440247035,4085520207
191,2381627434,4085520207
192,2459519979,4085520207
193,2354704705,4085520207
194,2387298926,4085520207
195,2876249524,4085520207
196,565662465,4085520207
197,1093535050757476355,4085520207
198,616969586,4085520207
199,773240110120927232,4085520207
200,4871884721,4085520207
201,2862730168,4085520207
202,330554495,4085520207
