,author.id,comunita
0,703708224168599552,1
3,3331801624,1
9,824215230846791680,1
102,896465830640275458,1
115,2665337999,1
193,779673493847801856,1
196,23042159,1
235,599039512,1
294,3978247071,1
297,998138210,1
306,928345597182177286,1
339,2165576440,1
341,1027756003134263296,1
404,1684468244,1
417,3380511171,1
420,51846511,1
421,2332701113,1
433,593817814,1
441,416583838,1
447,1045413120,1
455,426181894,1
456,1017105506,1
461,1177014283,1
463,1008345707177238528,1
464,3719734875,1
465,3009283112,1
483,721760074650292224,1
484,34236812,1
489,961233370821914624,1
492,2252899982,1
537,421723805,1
540,48142375,1
588,3099826691,1
592,260376774,1
594,1464602220,1
595,517932775,1
597,1009912099,1
599,1602804482,1
600,497384675,1
601,330554495,1
684,977194732068790273,1
685,424084271,1
695,4243675906,1
697,1096126365215178755,1
698,1191558961,1
717,2431061097,1
719,2653221513,1
720,1613377874,1
727,165143517,1
733,73418713,1
746,3131549915,1
748,721207033,1
751,3176594760,1
758,2318610186,1
759,1002634999378731008,1
760,1071125911016259585,1
767,1144627119504449536,1
768,388927417,1
770,2390283225,1
771,1128056061552934912,1
793,2759245990,1
794,1473979718,1
799,1089983496339230721,1
800,781930651528392704,1
803,1224996284,1
810,1464788840,1
811,2172508827,1
813,447395590,1
814,3050764363,1
824,318396255,1
825,2199853294,1
828,1604201599,1
829,402845604,1
834,311939919,1
835,69696487,1
837,1046656515506155520,1
850,960946795491811328,1
852,175557075,1
856,822771178112749568,1
861,885873404078903297,1
866,2954454747,1
924,1045272958133039104,1
925,2365823596,1
927,910481652,1
929,1061738674755420161,1
930,1479778964,1
933,1367102851,1
937,585883841,1
941,4894327877,1
957,328022080,1
960,751814461690900480,1
961,312928427,1
963,883629433126572032,1
964,831860163372015616,1
967,328473338,1
971,942463485073657856,1
972,487942271,1
973,1144860634489729024,1
974,2492501665,1
975,256468638,1
979,1372859420,1
982,14638233,1
983,1169700990,1
988,927989992084910080,1
1037,580096126,1
1169,912659598703808512,1
1173,405883804,1
1174,1280606617,1
1177,2174507470,1
1180,860948919831887873,1
1181,1026418206,1
1226,3676295055,1
1260,1316630180,1
1262,500799552,1
1263,1251089251,1
1266,2270259265,1
1267,181102629,1
1271,558623398,1
1272,873153450,1
1273,429203153,1
1277,345322343,1
1289,861256621053366272,1
1290,1219792052,1
1291,446313425,1
1292,2734047441,1
1293,629076877,1
1295,1229121186,1
1297,950107003967430656,1
1298,960990213769179137,1
1311,350256698,1
1314,2401379437,1
1327,876079635494305792,1
1328,2987972555,1
1330,3047103415,1
1331,2935481320,1
1332,989340356,1
1336,2342104352,1
1339,1020701362886184966,1
1340,4893362397,1
1357,4814832225,1
1365,1013681587014307840,1
1366,930659928,1
1367,896724136910868480,1
1368,326079212,1
1369,430743919,1
1374,857709675885858816,1
1380,836504312,1
1381,826765603558023168,1
1383,1347491738,1
1385,2895077031,1
1386,2241896284,1
1387,2487928534,1
1388,978025632247549952,1
1392,1069662616870641667,1
1395,1025041897,1
1399,192512696,1
1400,118401565,1
1402,1021072135735922688,1
1409,1027866337488642049,1
1453,971846549218168832,1
1454,2784216706,1
1457,3101569065,1
1463,374604328,1
1464,951064045586714624,1
1473,822331228145811456,1
1480,111966918,1
1488,2811574511,1
1490,538358467,1
1504,1159915009,1
1513,973585408255823872,1
1520,394680267,1
1526,1919261071,1
1528,449971279,1
1529,707910753,1
1533,831981618,1
1536,1086702385,1
1543,585968039,1
1562,431793661,1
1567,45815847,1
1570,3740658136,1
1571,811473812592148480,1
1572,1108660999731728384,1
1580,1006510829649518592,1
1584,405214695,1
1586,2367164648,1
1597,1114503342,1
1598,2301153684,1
1601,3331059982,1
1606,864546176,1
1610,143169845,1
1611,2387298926,1
1635,374759087,1
1642,318414803,1
1643,41068452,1
1655,363257664,1
1656,1115301952819224576,1
1657,2732751986,1
1674,3949076176,1
1677,982973540310880256,1
1701,390340887,1
1703,821482051,1
1706,885423468182990848,1
1742,1858048118,1
1758,586864077,1
1759,741946690282913792,1
1760,621985741,1
1761,1000138698032320517,1
1789,1009225098,1
1797,284780486,1
1798,19423445,1
1804,522667905,1
1806,2415755633,1
1813,891590768,1
1815,50651533,1
1830,55403428,1
1831,350810508,1
1862,856041932832874497,1
1891,2272715355,1
1905,419480982,1
1907,4802109016,1
1908,277955015,1
1909,533112380,1
1912,433604815,1
1915,541670926,1
1922,931229514763522050,1
1930,1138367720427311107,1
1933,4876948905,1
1935,2515461941,1
1938,1366886233,1
1939,1022231645024387083,1
1943,1161191406,1
1978,2872974977,1
2006,1041484481406873600,1
2010,721338196639014912,1
2024,85136516,1
2030,756563142138793984,1
2032,632742781,1
2040,702278319,1
2042,2437293810,1
2069,2381627434,1
2095,995597008747532288,1
2097,2706476465,1
2104,26295447,1
2105,563529644,1
2124,623687670,1
2135,4085103375,1
2142,981797615078723585,1
2146,1169506849,1
2148,440247035,1
2226,1109639072,1
2228,1264018218,1
2234,427673107,1
2235,909156725659402240,1
2238,1005911696316293120,1
2241,1099018745643700224,1
2243,3058264727,1
2248,1176618985,1
2249,2434174828,1
2250,1014149572669657088,1
2252,2360803296,1
2253,451667489,1
2254,943786068981239808,1
2255,1006094974423830529,1
2256,819446890404179968,1
2258,1119255470571687942,1
2259,559732204,1
2260,245969509,1
2263,1067059978719162369,1
2265,985259745975197696,1
2276,3373403367,1
2280,716353562020855810,1
2281,1041425557567635457,1
2284,764060814,1
2291,2907821698,1
2297,1001494357,1
2298,941421555313192960,1
2301,394780039,1
2307,386659949,1
2309,987411073950240770,1
2310,821879334,1
2350,3366460893,1
2351,4055846314,1
2355,4611199415,1
2360,972612694338662401,1
2417,2715689925,1
2424,1316658380,1
2427,2196193971,1
2428,453287155,1
2431,1116090803900887041,1
2439,831054785931571203,1
2440,457323161,1
2441,1143894122765438976,1
2444,833219221,1
2455,2336431904,1
