,author.id,comunita
0,4838736117,1
10,1160520321277054977,1
19,1214986704492339206,1
30,2535751839,1
86,946972735,1
116,312615662,1
122,748205390043746305,1
128,3676295055,1
147,513444329,1
162,1132954639236849665,1
170,979100648,1
173,541670926,1
185,2387298926,1
222,998138210,1
228,2954454747,1
244,330554495,1
305,1269436015,1
316,2354704705,1
331,1241110578929729539,1
334,65922786,1
379,48142375,1
408,576834361,1
412,428418598,1
413,889057141,1
414,2660808424,1
430,49656085,1
432,346161795,1
442,2323955682,1
443,45861942,1
450,100878763,1
469,977434731523559424,1
470,822200874,1
500,2595566549,1
535,1108660999731728384,1
538,1004030031457333253,1
549,792731002900709376,1
552,3074064164,1
554,784724316181192704,1
555,1090595328460509190,1
590,423509577,1
591,396614343,1
592,3405754709,1
595,1086691638,1
600,831860163372015616,1
603,1026418206,1
638,4420187482,1
639,3099826691,1
646,761170444904964096,1
660,849990387255177220,1
665,366660837,1
672,836645258716905472,1
679,701098945695580161,1
690,856041932832874497,1
738,2732751986,1
754,1136656067654557698,1
758,821879334,1
780,1236977519083114496,1
803,135120249,1
804,556683312,1
810,1025041897,1
813,961215618438582273,1
815,2828396831,1
819,2973650218,1
821,1148693291430535170,1
829,2890207591,1
834,1015918388428918784,1
842,1112453260210855936,1
848,825458049238368256,1
850,1526871476,1
862,963128776841457667,1
867,1068728030,1
872,603612465,1
873,521721024,1
878,1027112602751643648,1
883,1009225098,1
887,797374091959406592,1
894,729861715970658308,1
904,110372659,1
918,909489098800422913,1
933,1087849336241905664,1
940,2332701113,1
956,3433460549,1
963,404081645,1
967,1134090080681963520,1
971,2508021147,1
983,2249959502,1
986,971816547898490881,1
1030,3302069128,1
1031,359421043,1
1042,1086702385,1
1050,2336431904,1
1058,706098783814361091,1
1105,808310822854393856,1
1110,622715939,1
1113,599039512,1
1134,4747949368,1
1140,773240110120927232,1
1155,186124512,1
1157,4264534757,1
1161,2919790132,1
1171,1216846151569301504,1
1193,416583838,1
1218,824215230846791680,1
1262,340252412,1
1273,436632575,1
1276,460611317,1
1287,1316658380,1
1296,701803634632343556,1
1298,1015492226338705408,1
1303,1349467232,1
1304,1037692622,1
1311,2405837416,1
1322,408544727,1
1326,1189654234851090434,1
1347,1000714225046695936,1
1357,92260294,1
1362,1068802416546590721,1
1403,2470692079,1
1414,731343264,1
1421,1106992553004617730,1
1422,1370300701,1
1431,394680267,1
1440,1106858815855775744,1
1441,3368018859,1
1488,2847028163,1
1499,1013117294,1
1511,1536096120,1
1515,1027404487,1
1524,909863224593588228,1
1537,2298919180,1
1541,2305058365,1
1547,296148731,1
1552,900345126752571393,1
1555,2442860633,1
1557,3222074847,1
1560,2252899982,1
1570,593523410,1
1599,327417226,1
1616,2491534261,1
1620,1161191406,1
1654,917304116270989312,1
1660,805385704796811264,1
1663,821671876749619202,1
1664,2902809855,1
1675,526459595,1
1682,3101569065,1
1684,2944162762,1
1686,827887869104635904,1
1688,1000138698032320517,1
1718,1223250219204272128,1
1733,1091418394631516161,1
1754,864477312720437249,1
1755,397853516,1
1760,2299705635,1
1762,2320478792,1
1779,998293947066781697,1
1781,497714059,1
1783,982973540310880256,1
1804,459759337,1
1817,2508142444,1
1819,327402354,1
1825,931551631317061632,1
1830,1154371862606098432,1
1848,2276659249,1
1853,2784216706,1
1863,1238838550482821120,1
1868,1243851595491803137,1
1869,1945228070,1
1871,982582749390426113,1
1900,4871884721,1
1932,2200948085,1
1967,418531422,1
1970,439290200,1
1979,1445162665,1
1983,567083810,1
1993,1015887595509899264,1
2003,484592863,1
2013,2748336785,1
2017,1151782492074074112,1
2022,1219535275,1
2023,945102892956086272,1
2029,1222676508,1
2077,968574382883983360,1
2078,1387916838,1
2086,893088899043557376,1
2102,899281777453355008,1
2107,585968039,1
2114,1405654166,1
2128,416439103,1
2136,1222227577,1
2141,553567662,1
2145,937591685080670208,1
2146,96960470,1
2171,984851042,1
2173,1210967534809145345,1
2174,1022520208672604160,1
2178,3038761187,1
2195,345535835,1
2205,871143564947988483,1
2208,785129133009494021,1
2285,2842925692,1
2288,115410183,1
2292,701834822,1
2299,17629536,1
2306,600444803,1
2313,478424382,1
2318,1125109992,1
2342,471874775,1
2344,4903019061,1
2348,4112466863,1
2352,899561259070365696,1
2353,1177014283,1
2354,1732467540,1
2356,73418713,1
2362,435673164,1
2376,1469982290,1
2380,1017105506,1
2383,1228114681,1
2391,2199752110,1
2392,720941698323476481,1
2403,1149014184,1
2407,350810508,1
2415,721338196639014912,1
2419,28962523,1
2420,365647664,1
