,author.id,comunita
0,1098241328150908929,1
93,471995227,1
206,110460168,1
444,1231582922068676609,1
499,971816547898490881,1
1729,895074662,1
1788,982973540310880256,1
1902,278425671,1
2129,1016343062803566597,1
2138,1106449976,1
2194,502018244,1
2715,968582010,1
2830,1239617807874211848,1
2932,354778269,1
2987,1223330966980177922,1
2999,1285295149082447872,1
3316,244108172,1
3404,778939778,1
3423,1214270543660142593,1
3454,2195968707,1
3789,3150241598,1
3812,28321142,1
3851,2430808297,1
4109,2540505196,1
4166,76993549,1
4335,324293502,1
4538,229160327,1
4895,1446245624,1
5092,821879334,1
5275,353251479,1
6350,4063692863,1
6384,1040693921511362560,1
6393,946023379,1
6453,1302370010728460299,1
6507,1272523678140555274,1
6724,1386786871439659011,1
6996,743858514,1
7039,890647654224580608,1
7074,1646281124,1
7199,3602153362,1
7219,728525736185896964,1
7541,1207999372069363713,1
7562,928345597182177286,1
8010,357731822,1
8052,581206231,1
8127,994221768402526208,1
8166,1378353227276640262,1
8226,1254390256557871104,1
8265,1218946952924213251,1
8396,2715689925,1
8542,1496843330,1
8615,706098783814361091,1
8628,939484063,1
8864,3095369200,1
8879,2725216048,1
8966,1253740719728189440,1
8996,853346632078962689,1
9062,837727775192674304,1
9321,1133374725764337672,1
9395,482306466,1
9435,186124512,1
9476,1243503572962226178,1
9521,1443286886,1
9683,701388779114930177,1
9742,4160203479,1
10893,880668519762886656,1
11008,356704621,1
11057,1370300701,1
11537,1407785213908983818,1
11591,754738337445998592,1
12060,426112917,1
12105,892482377590636545,1
12593,1381489063,1
12763,3368018859,1
13390,2895641883,1
13572,198158656,1
13586,1183534806,1
13644,1247972665756987392,1
13657,1243940685545459714,1
13678,2627013992,1
13868,432513377,1
14072,261644814,1
14216,1130982293001187331,1
14219,2354704705,1
14478,3684132136,1
14585,272028995,1
14590,1361005604119187457,1
15056,872114795851517952,1
15113,2860679039,1
15157,199632783,1
15170,1248347579383009286,1
15185,45815847,1
15221,2849566250,1
15228,833352342791716865,1
15504,2815401849,1
15540,1275369751439724544,1
15547,213752633,1
15681,1048928136384188416,1
15691,1224996284,1
15774,1879324106,1
15789,950339922602479616,1
15847,883025867714297857,1
15877,1236660855120498688,1
16118,4893362397,1
16226,2869513019,1
16230,1601926596,1
16235,1259667857018945540,1
16237,986872189201895425,1
16262,565662465,1
16432,1125440833099112448,1
16988,1377720037893672962,1
17184,883605008083759105,1
17231,145213815,1
17281,489331719,1
18269,399553357,1
18344,1243305305162866691,1
18352,137643354,1
18438,1240974868801359872,1
18516,1258867179191259140,1
18770,1313354999192322050,1
18813,773240110120927232,1
18865,719436488094650368,1
18877,358968766,1
18907,1213937974666153984,1
18956,1215553344951017477,1
19024,726673795,1
19076,1251474762460790785,1
19251,1244249856413179905,1
19623,1359890089187368960,1
19634,1380861113546510336,1
19716,2902809855,1
19922,117021402,1
19948,1040460186,1
19970,1224441067929505792,1
19996,725968843563225088,1
20161,1139768707461238784,1
20162,1131866692278087680,1
20167,964779231250206721,1
20240,1204485424166686720,1
20256,3073944291,1
20383,1295297295798411264,1
20448,560086917,1
20660,1152192533063241728,1
20961,1007028370377531392,1
21004,2528321399,1
21157,1352240549185646592,1
21206,383888615,1
21224,447030594,1
21305,3944712676,1
21312,572125780,1
21418,1327518346586296321,1
21466,1272216390783688704,1
21488,936533587,1
21524,612676163,1
21540,1227633852753104901,1
21656,2924378676,1
21728,4558858168,1
21845,591800852,1
21870,3930415577,1
21871,242192902,1
21876,2595566549,1
22000,2773450417,1
22026,2713176561,1
22144,467361179,1
22307,927122457894453248,1
22621,826833620727975936,1
22630,1390017980084412419,1
22646,2607432129,1
22647,2261631554,1
22676,776032555,1
22692,1466803693,1
22726,971409602091864067,1
22788,519379680,1
22855,909156725659402240,1
22878,1320936355,1
22924,2252899982,1
23554,198624955,1
23634,849990387255177220,1
23762,701168995,1
24046,2949662763,1
24084,772938597137801216,1
24115,3366460893,1
24290,2811224137,1
24342,330554495,1
24476,903904862848643072,1
24489,730034081698877443,1
24545,1182701721602154496,1
24581,4205262461,1
24645,4851430133,1
24744,447452303,1
24978,2792078239,1
25036,492397709,1
25161,436632575,1
25201,1033781605565902848,1
25255,211429477,1
25686,929076034791763968,1
25730,2811583397,1
25734,3261069747,1
25780,3028809503,1
25811,1353030410796720129,1
25904,1238787162524594176,1
25916,947415740000464896,1
25927,770615797,1
25943,700841898,1
25978,4098849867,1
26046,610172744,1
26085,1023826592,1
26156,1634399438,1
26222,357984794,1
26237,2904232168,1
26293,2216051760,1
26432,1376226833000173576,1
27031,1028603772807901184,1
27048,568418849,1
27184,4048644567,1
27196,1084533732701364224,1
27226,946336091384279042,1
27263,1315395996,1
27427,1390061861316485122,1
27506,465860666,1
27516,1391958840,1
27860,420452043,1
27900,2842808602,1
28038,708773624,1
28170,3372869746,1
28441,797146299829276672,1
28555,2716446892,1
28781,4788106457,1
29060,589430368,1
29178,1217029671587663872,1
29212,1407948418836803585,1
29225,301717777,1
29323,1036329954798129152,1
29442,1230970170962857986,1
29461,3245489297,1
29536,279178016,1
29571,1106516964,1
29603,433482215,1
29626,2511132892,1
29645,1365238878,1
29683,1248766388354850821,1
29721,346844551,1
29839,1441611704,1
29860,3631495096,1
30015,1525122290,1
30038,3039450687,1
30146,95443928,1
30180,1295001682850525188,1
30220,1123858502118776834,1
30339,541162463,1
30406,1345094496204312577,1
30424,1101021343,1
30482,1249405307073089537,1
30596,1146511719272976386,1
30610,1338173657198309381,1
30617,739880994451402756,1
30618,364265433,1
30734,745351426117869568,1
30844,784756576229978112,1
30845,634301484,1
30928,977194732068790273,1
30985,2954454747,1
31143,977960755919228928,1
31319,525441577,1
31361,973247240822280192,1
31593,955578366,1
31620,1101391607574810624,1
31628,1393166804,1
31695,1273686762691297280,1
31768,416583838,1
32141,1013117294,1
32409,138282000,1
32411,1161191406,1
32640,3050183838,1
32644,1253009145512497152,1
32661,990858403634466816,1
32741,1031901204828237826,1
32808,2336431904,1
33045,1376614987284746246,1
33047,2731701196,1
33128,772520766885728260,1
33358,2512399892,1
33500,106724705,1
33573,1002167748326318080,1
33625,2903545671,1
33744,993774130293067776,1
33785,985189174365048833,1
33828,1368152558,1
33870,913718930404990977,1
34011,308905321,1
34061,560412535,1
34074,1199676680140398592,1
34080,1048845509996290048,1
34089,1231565391543050240,1
34134,710554164770816000,1
34171,965513960274452480,1
34207,562168466,1
34210,1064500774451986432,1
34213,805787362148093952,1
34234,3172430939,1
34498,1037003822,1
34615,1042763174,1
34833,387745397,1
35023,405482706,1
35173,1389823591,1
35284,463227847,1
35327,2529337990,1
35373,2941270353,1
35428,230251192,1
35481,2387298926,1
35701,501783959,1
35703,1407614734266945536,1
35714,2784722199,1
35740,1159859284357910528,1
35759,1180933974128025605,1
36003,1095076850,1
36060,1248307267,1
36440,1086702385,1
36558,230310402,1
36611,1348996921646575617,1
36672,1382258084567998469,1
36730,1363888045154578434,1
36741,2241594340,1
36906,1133111378045284353,1
36941,1229409632,1
36992,743779047591796736,1
37017,4098830355,1
37063,920720807474728961,1
37065,1367476274583777283,1
37398,1408859889867411458,1
37402,1076779266619121665,1
37466,1192636619167322112,1
37657,1409753412493787136,1
37659,1312802310830125057,1
37965,1972786862,1
37982,1345366497460424709,1
37990,576520946,1
37995,2252346648,1
38016,1170851791409430529,1
38040,1086691638,1
38155,4894327877,1
38166,2267288613,1
38322,2833801512,1
38323,1010757682293366790,1
38326,839559591746801667,1
38364,558064469,1
38399,1354014924301852673,1
38554,1010803762569637888,1
38560,988333988,1
38584,833219221,1
38589,222176911,1
38787,961691283860451328,1
38818,943045818814169088,1
38859,1198960253649477632,1
38875,997107768,1
38890,19592755,1
39040,994246141855322114,1
39110,806624541720137729,1
39127,164628357,1
39171,3182081069,1
39212,972612694338662401,1
39255,1010423353776238592,1
39266,376691595,1
39329,1360341200990068741,1
39431,1324997161667485696,1
39464,319106670,1
39594,1388570703553777664,1
39608,894659348,1
39642,479860435,1
39762,570985785,1
39786,978025632247549952,1
39854,931801687895035905,1
39882,3103748006,1
40022,1219795527690260481,1
40030,799651181257785344,1
40238,1077208244316180480,1
40305,796462039417946113,1
40313,29455283,1
40370,2446945421,1
40502,4513753401,1
40565,1245490697915990016,1
