,author.id,comunita
0,1250166694338801666,1
23,96383439,1
66,1337899721545879555,1
109,422152255,1
114,918929602864648192,1
120,195592165,1
144,224226820,1
182,1140517423,1
196,907509093694414850,1
205,544981545,1
206,1263879534337822721,1
222,9437162,1
277,1349854445321003010,1
282,999280766,1
474,1240582899247783941,1
489,968582010,1
524,2252899982,1
904,742471268,1
907,478526858,1
911,1053632622465818624,1
1190,623687670,1
1428,405482706,1
1506,1299087773601861632,1
2031,2595566549,1
2238,883724976158887938,1
2748,1258380213232304128,1
2795,1250177731,1
2959,440247035,1
3404,1272523678140555274,1
3479,1189981854,1
3493,876461518342283265,1
3527,429868284,1
3605,68159375,1
3759,1331351202248978438,1
3766,263707432,1
3817,1145218852151812096,1
3821,881039666035675137,1
3923,741682596,1
3955,2328829536,1
3986,1365683037007192069,1
4015,521620495,1
4123,48182327,1
4149,1376226833000173576,1
4174,1042691054,1
4280,1248766388354850821,1
4315,2446945421,1
4369,1348628671117066240,1
4381,800991504999313408,1
4402,229160327,1
4700,874325695,1
4739,1209249979744817152,1
4773,1275179221527203844,1
4774,456878624,1
4783,2354704705,1
4926,851209276018364416,1
4929,1140075636574343168,1
4932,2332701113,1
5058,1059469312652689408,1
5059,1241275519645163520,1
5060,1036159259518660608,1
5062,1345458662282821633,1
5072,846123636,1
5074,3343776015,1
5096,489331719,1
5169,993165096,1
5186,715923427534761984,1
5187,3099826691,1
5333,1586607300,1
5338,985259745975197696,1
5478,784004960493199360,1
5497,724554112864497664,1
5499,872477161545977856,1
5524,235554908,1
5549,265679140,1
5550,2437293810,1
5563,431862853,1
5570,444837039,1
5591,1290357627852148737,1
5667,425004751,1
5670,1334886917696000006,1
5673,3222074847,1
5696,1121928343,1
5697,732923054167347200,1
5700,3306908519,1
5711,145213815,1
5738,416583838,1
5875,1243646920637255682,1
5912,872189046323281920,1
5922,1466803693,1
5926,940664413836730368,1
5992,2448997971,1
6008,2713176561,1
6083,476161307,1
6099,1229409632,1
6153,409327207,1
6154,2274653489,1
6178,420511942,1
6193,825778741649534977,1
6194,583941667,1
6197,3433460549,1
6296,1289510747152822275,1
6307,1351913201324142596,1
6314,814948783528230913,1
6323,495105410,1
6326,65428615,1
6327,3306278271,1
6330,164270252,1
6331,3303206327,1
6450,548022708,1
6452,161468228,1
6465,1020502986,1
6595,4513753401,1
6620,2590034989,1
6633,1276860697301966852,1
6668,800639564,1
6669,1037394888,1
6676,492397709,1
6724,1595843437,1
6743,4458653776,1
6832,864477312720437249,1
6843,4645765168,1
6861,2904232168,1
6934,506334225,1
6957,746273432283807745,1
6958,546654601,1
7268,2323971608,1
7394,1018468604843618309,1
7400,1334430294670254080,1
7413,43578146,1
7460,1208007355180433409,1
7463,854810856789561345,1
7469,3039582790,1
7475,479467597,1
7543,880781138905772032,1
7546,849707562,1
7569,4372515753,1
7575,743779047591796736,1
7622,1301090281283039232,1
7830,1369568195883982851,1
7944,1344383673261584386,1
7963,1172571984967942146,1
8028,883766218758529027,1
8100,445411266,1
8137,1364430734,1
8177,549225146,1
8179,822205075858882561,1
8181,1022119382,1
8186,138363597,1
8223,3092129056,1
8224,366660837,1
8503,1391958840,1
8579,521440580,1
8580,1271793704374861825,1
8583,1180933974128025605,1
8669,4832414692,1
8671,3368018859,1
9036,848477487269113856,1
9040,845579866842058753,1
9041,410547593,1
9043,306496514,1
9077,946441502,1
9079,1227988316,1
9084,609876984,1
9096,432513377,1
9167,1392155702,1
9194,4052195476,1
9195,3067545123,1
9199,2978930992,1
9200,721992165505835009,1
9219,1247136845995167745,1
9238,1312802310830125057,1
9364,2343331660,1
9382,1275061479801122818,1
9410,278425671,1
9559,2895641883,1
9693,1308848585300160514,1
9715,1078759473962016769,1
9961,1365371286,1
9976,2791785084,1
9983,3170191802,1
10001,471995227,1
10149,741338484,1
10180,3301328739,1
10200,529656077,1
10231,1247962336826187783,1
10256,1353408719409848321,1
10260,1251850799602376704,1
10300,2508021147,1
10408,1062776392327356417,1
10425,371462969,1
10458,368178936,1
10462,2407748559,1
10610,222176911,1
10661,1036329954798129152,1
10673,820932376218005508,1
10676,290963421,1
10686,1356156544229003265,1
10986,1077644550,1
10990,1135307505435848710,1
10991,1375385049164566529,1
11051,3231514282,1
11055,1324770338870362115,1
11057,2511132892,1
11074,357731822,1
11089,592269529,1
11107,437607577,1
11116,1283518398,1
11188,950042487439142912,1
11190,1138777682248982528,1
