,author.id,comunita
0,2437293810,1
13,773240110120927232,1
44,2332701113,1
62,518822367,1
63,1889851668,1
64,342118728,1
65,2970015723,1
67,2328829536,1
68,330554495,1
121,2354704705,1
140,342077520,1
143,2535751839,1
292,2200948085,1
326,1125109992,1
346,401507232,1
356,440247035,1
401,350810508,1
419,382168042,1
426,256506903,1
428,3366460893,1
430,727302698261848064,1
431,785129133009494021,1
490,977960755919228928,1
504,118978778,1
525,763146166620057600,1
547,1387916838,1
553,219482290,1
562,457870351,1
565,824751652351643651,1
568,61703985,1
588,806775410155339776,1
599,1219710872,1
607,1349467232,1
611,1183534806,1
630,3331059982,1
633,1158758131448590336,1
644,62285317,1
680,1152141861739540480,1
699,3070700175,1
703,397914712,1
711,4893362397,1
723,1037003822,1
729,1112453260210855936,1
736,1181497488605433856,1
745,3021505114,1
747,885873404078903297,1
751,1199055509120307200,1
752,1090595328460509190,1
835,1157736726695219200,1
836,822200874,1
851,962439266,1
855,1008326401,1
859,821879334,1
905,855180290,1
908,1042906497129361408,1
947,1032967056,1
975,513444329,1
998,972612694338662401,1
1048,1315395996,1
1073,4049929390,1
1105,384818191,1
1122,48142375,1
1163,998138210,1
1173,444837039,1
1186,4160203479,1
1202,1000138698032320517,1
1242,1114933988,1
1245,2804233346,1
1250,3099826691,1
1262,65922786,1
1305,1264018218,1
1316,881039666035675137,1
1347,2196197082,1
1351,1033488919,1
1353,1019829440736583680,1
1355,12734122,1
1356,886056563378708486,1
1358,1192449294667853824,1
1359,1089103213406621696,1
1361,1086691638,1
1373,941263806,1
1374,2167432183,1
1376,1132241255654678529,1
1379,576106827,1
1388,514559491,1
1389,2195968707,1
1398,3590817526,1
1401,1496823830,1
1402,4180638383,1
1403,2954968366,1
1411,2955233225,1
1413,1035376896,1
1415,4226059035,1
1416,3050764363,1
1422,407741225,1
1425,2938313507,1
1427,2304933756,1
1428,1164502836589281282,1
1430,2387298926,1
1455,885464290202976256,1
1462,436892821,1
1463,421247059,1
1464,825458049238368256,1
1466,450555112,1
1467,484005172,1
1468,1013117294,1
1485,779316037774929921,1
1491,138502495,1
1492,1566803234,1
1500,240153945,1
1502,2716446892,1
1517,1851884437,1
1518,596821309,1
1537,517930094,1
1538,2993829604,1
1551,383685343,1
1554,174643719,1
1566,130502044,1
1569,1006081105567670272,1
1570,849990387255177220,1
1573,1133214512,1
1574,1027756003134263296,1
1590,937409964800466946,1
1591,1206918507373481985,1
1592,1172571984967942146,1
1636,1132541391928745985,1
1637,600280702,1
1639,53135170,1
1641,1622970242,1
1646,319342552,1
1648,1170775660907978753,1
1651,1041484481406873600,1
1662,597545163,1
1669,2605826035,1
1672,470180296,1
1678,401293652,1
1679,1701198374,1
1681,856041932832874497,1
1690,715644689622372352,1
1708,941722562,1
1723,2376808347,1
1729,2954454747,1
1769,1526871476,1
1774,405482706,1
1776,1006381197465800704,1
1785,1222676508,1
1808,261644814,1
1815,716735305370443776,1
1816,2299705635,1
1821,232559332,1
1824,319537863,1
1845,4867636829,1
1852,330244019,1
1853,104651157,1
1859,1217992189,1
1864,1040676078271037447,1
1874,1140075636574343168,1
1895,3243517432,1
1909,2595566549,1
1926,1043250043862614016,1
1929,1211700487080165384,1
1930,883605008083759105,1
1951,885423468182990848,1
1962,1123009382,1
1970,3457705635,1
1976,73418713,1
1994,1055367092,1
1996,251106558,1
1997,525587066,1
1999,845257288143290368,1
2005,2588366118,1
2022,444976229,1
2024,1158416131050364928,1
2034,1405654166,1
2045,951835458987876354,1
2067,1089107530247221249,1
2171,982582749390426113,1
2201,951064045586714624,1
2205,160193682,1
2207,827878978564345857,1
2209,2515461941,1
2212,1161158734724440069,1
2213,2170225513,1
2214,1035835901753126913,1
2215,2408803254,1
2216,1010652026068525057,1
2220,394680267,1
2228,833219221,1
2230,881002346,1
2232,606188060,1
2233,546610139,1
2234,3103748006,1
2239,232297865,1
2250,808310822854393856,1
2266,1145587750583853056,1
2268,1138920392364625922,1
2270,701098945695580161,1
2290,706098783814361091,1
2307,1011141461084172288,1
2309,979367275886268422,1
2316,2497072758,1
2323,1160132700742832128,1
2327,211429477,1
2331,166920982,1
2339,2323971608,1
2341,1003880257743720448,1
2345,945202600051462145,1
2378,2256287230,1
2385,824215230846791680,1
2435,141529750,1
2438,1283615875,1
2439,250054678,1
2440,525441577,1
2441,1068802416546590721,1
2497,721338196639014912,1
2502,99702635,1
2505,454365633,1
2506,567083810,1
2511,636193713,1
2512,836237598,1
2514,973585408255823872,1
2516,3676295055,1
2525,286973799,1
2527,891716517284519936,1
2528,1240786200,1
2541,41182770,1
2544,1000843531286609920,1
2574,100878763,1
2615,2898227979,1
2636,1004030031457333253,1
2640,345219705,1
2646,988373714,1
2660,762741004998967296,1
2663,464705744,1
2667,1684468244,1
2681,951558069439356933,1
2682,487711174,1
2709,1160335674224128000,1
2720,2627013992,1
2725,2470692079,1
2751,1476948512,1
2769,1170011625526648832,1
2770,836271002,1
2781,1068967435498328066,1
2782,116050560,1
2784,436833006,1
2785,3898955560,1
2787,2909929737,1
2788,1000480351905632258,1
2790,404343710,1
2791,582152087,1
2794,1234458775,1
2795,2220104545,1
2804,1172410504343502849,1
2806,459759337,1
2834,1536096120,1
2839,742774440019275776,1
2843,946023379,1
2850,480666383,1
2858,3684132136,1
2866,986872189201895425,1
2871,1096126365215178755,1
2877,1191558961,1
2887,3729794056,1
2888,542614151,1
2891,738637670,1
2901,817871813187342336,1
2902,45605039,1
2903,1125190120121032704,1
2904,20258610,1
2905,754616685370413056,1
2910,897054630,1
2912,188043254,1
2917,312615662,1
2923,96960470,1
2942,970637990216241152,1
2952,78839765,1
2954,52359041,1
2955,1125860282490920961,1
2959,731850395782393856,1
2960,457545957,1
2975,1133771562216304640,1
2993,306496514,1
2999,1662686167,1
3000,1087906548037402626,1
3001,1158407354326691844,1
3021,2326140878,1
3024,1263042661,1
3026,1153991721971331074,1
3027,3302069128,1
3030,2732751986,1
3034,2173072229,1
3047,1007674407987417090,1
3056,345322343,1
3066,917015985617502208,1
3067,1200387273453457408,1
3072,3073944291,1
3093,494488867,1
3111,1154371862606098432,1
3121,276026459,1
3122,899249568143081476,1
3125,270050737,1
3127,4069896899,1
3135,710245497194323969,1
3138,961833858097332226,1
3142,147725370,1
3145,1469982290,1
3151,598772700,1
3157,1338614814,1
3159,1126361270,1
3161,467361179,1
3182,537618659,1
3190,2771279073,1
3191,1146148478,1
3192,4489836154,1
3199,2227643435,1
3206,1064245830,1
3208,772434643492691969,1
3209,499525367,1
3210,1108107168853696512,1
3211,2980425346,1
3213,512990070,1
3233,893939057511866368,1
3239,230787831,1
3240,1062862212,1
3243,1184856664303910913,1
3249,971409602091864067,1
3264,599039512,1
3301,928345597182177286,1
3311,1146147427,1
3319,3191192553,1
3323,2415755633,1
3328,247505099,1
3329,824173479624896513,1
3337,2318930618,1
3338,982654584119283712,1
3339,1331889974,1
3341,1042764271552212992,1
3362,528694205,1
3369,1177553829660770305,1
3372,426966419,1
3373,397853516,1
3377,1227251701,1
3384,1033970430481260544,1
3390,975859992040525826,1
3405,2360803296,1
3407,1067796209807630336,1
3409,827199467304673280,1
3431,1000326701740711936,1
3435,158288741,1
