,author.id,comunita
0,549145444,0
1,773449741753606145,0
3,1697207383,0
6,1070755544888172544,0
7,4229183959,0
8,3288456639,0
9,2510647319,0
10,592911066,0
11,2396560781,0
12,988941205,0
14,1038142080986570752,0
15,389516967,0
16,808864638,0
17,3398918374,0
18,2720726080,0
19,1212038210,0
20,1344918584,0
21,1152835906023370752,0
22,1169369496093638658,0
23,1077012252,0
24,615470875,0
25,969588312,0
26,887447096,0
27,951923839633633280,0
28,2354602870,0
30,1131648782,0
31,302183996,0
32,3351565383,0
34,2944068340,0
35,817707167507681281,0
36,2673481767,0
37,3050608306,0
38,1668400208,0
40,1014281190046601217,0
41,2308102316,0
42,3602438961,0
43,2896210791,0
45,841269578,0
46,2962270288,0
47,513650879,0
48,3095218971,0
49,2664060717,0
50,3025168035,0
51,721364235108950016,0
52,901837262,0
53,1116638889677131776,0
54,1002197731232899072,0
55,749640115631362048,0
56,861640458,0
58,4404641121,0
60,712715212613369856,0
61,973691063775977473,0
62,1930580642,0
63,3496589839,0
64,2726590954,0
65,738469003,0
67,528863849,0
68,387822743,0
69,2456689957,0
74,324343635,0
75,987443378982916096,0
76,497985980,0
77,1701353953,0
78,1089287519504662528,0
82,1645880077,0
83,3151268037,0
84,2763425129,0
85,2415346229,0
86,361819912,0
87,951204217364115456,0
88,467410073,0
89,873905102,0
90,1090240807,0
92,2546368477,0
93,2844042647,0
94,2501518636,0
95,723830239906897920,0
96,2160927027,0
97,1157379056603676678,0
98,176788361,0
99,4173823575,0
100,2802356084,0
101,3025631884,0
102,1872960127,0
103,1389557809,0
104,1101448555,0
106,999421375348641796,0
107,426562114,0
108,1246721568,0
109,3096914235,0
110,452976370,0
111,2449683746,0
113,3466915216,0
114,3345271371,0
115,633769968,0
116,1001138251879641090,0
117,1006448257302753280,0
118,882711743474040835,0
119,1016054724875968513,0
120,740799716,0
121,3703565872,0
122,756578211216121856,0
123,1000746489055010817,0
124,2746468781,0
126,1135983888889733120,0
128,3618219557,0
129,2785257725,0
130,2803870682,0
131,956249517162205191,0
132,1013543443,0
136,867145347004596224,0
137,728658394350026753,0
138,2548549976,0
139,857686892476862464,0
140,1000812140721332226,0
141,1081127455254040578,0
144,999999578127650816,0
145,1121261871011643392,0
146,3374257163,0
147,258421501,0
149,3403032496,0
150,1013529022331056128,0
151,716658191300435968,0
152,3334490769,0
153,1284099572,0
154,1050453042376704000,0
155,1146373107365666817,0
156,1008915913,0
157,1132326639751303169,0
158,2200214997,0
159,1022577282047729665,0
160,485832202,0
163,3389101223,0
167,412282094,0
168,3804563775,0
