,author.id,comunita
0,1256304262155505664,1
14,856215728,1
196,765128768117739520,1
307,1524554196,1
382,1076779266619121665,1
453,603612465,1
556,1476628770962427909,1
586,1181670974888058889,1
624,1092166154783809536,1
762,2928096323,1
880,1384189275722293250,1
1037,1087849336241905664,1
1320,4463821833,1
1441,2179948113,1
1501,1320384003246034944,1
1508,1730043306,1
1515,228879550,1
1530,1438772903475126273,1
1569,1487942020513599488,1
1580,4189354889,1
1669,1405888434917593098,1
1857,337152978,1
1935,470242115,1
2124,62589044,1
2145,806031273215004672,1
2160,375544141,1
2325,993732267389472768,1
2381,568574630,1
2531,1445146782753861635,1
2550,834419884205469696,1
2888,90045262,1
2922,1062643914,1
2957,117172862,1
3033,1032616751614386176,1
3097,2874898612,1
3252,738448251578355712,1
3422,1475531099015163909,1
3563,717285518069874689,1
3605,735183717518299136,1
3643,1067059978719162369,1
3782,716176062707810304,1
3965,1479615449948205058,1
3972,1479465381538545665,1
4149,2528321399,1
4208,1472995141589819405,1
4209,939484063,1
4269,840203779,1
4378,770672957614161921,1
4411,1356930348433760257,1
4468,460987353,1
4615,2171968148,1
4617,1153015919742005249,1
4635,1246088563529302021,1
4697,230787831,1
4831,1164470940698316800,1
5130,465860666,1
5194,2431061097,1
5229,1436197225428922369,1
5547,1465338505433956357,1
5562,17532492,1
5612,702450937395351553,1
5617,533019074,1
5670,799651181257785344,1
5899,558417697,1
5972,1170387597736185856,1
5989,1372972843965812747,1
6144,1318839618553466880,1
6512,211429477,1
6720,109449600,1
6730,985189174365048833,1
6771,53646429,1
6786,944382516,1
6869,32596998,1
6976,1273661241471504390,1
7203,1451569038048518144,1
7257,358270300,1
7842,1442589814449078272,1
8145,1466803693,1
8279,4098849867,1
8478,476825482,1
8540,1355953167922589701,1
8552,1487464835239526400,1
8741,1351913201324142596,1
8830,364265433,1
8936,555481994,1
8976,4038038116,1
9035,2300995506,1
9059,1125440833099112448,1
9676,2284094585,1
9682,2371528511,1
9692,1351794146755940353,1
9749,765564104,1
9771,971816547898490881,1
10171,1350218496903434242,1
10245,365633533,1
10408,1234744238228803585,1
10861,977645193573945344,1
11430,796462039417946113,1
11612,1427276891023626240,1
11894,1159393215855976449,1
11978,792793865489117184,1
12388,2216051760,1
12660,1423246370597752832,1
12829,781104353377738752,1
12886,1370300701,1
13611,1304181066928971776,1
13619,1153676843108712455,1
13686,541112195,1
13733,1227606981076291584,1
13841,1496585762439143432,1
13852,3435277660,1
13871,1479419401229250560,1
14000,3174293866,1
14019,1495512090890711053,1
14198,315128212,1
14271,2303184865,1
14344,826077183772917762,1
14359,514440497,1
14456,1450765089372524552,1
15231,19281320,1
15472,1242481949437919233,1
15612,1347940886878027776,1
15759,226187873,1
15784,3309458867,1
15795,2436207123,1
16504,1266634908,1
17230,1375740452385742849,1
17295,1236336724399329280,1
17655,1427553158910390302,1
17845,1240786200,1
18056,1180933974128025605,1
18068,416439103,1
18306,1112726270993936385,1
18552,939959776938807298,1
18625,1476457081393795074,1
18710,1496103715912179712,1
18744,947415740000464896,1
18753,821662290151931904,1
18764,468720469,1
18932,1263909744,1
18969,1467616078272638978,1
19011,387745397,1
19233,318574961,1
19249,257517267,1
19276,2261473278,1
19365,1362144619,1
19641,496426026,1
19685,4248854122,1
19706,1368377352477085696,1
19714,2417454271,1
19720,1148647880720310277,1
19723,3380511171,1
19778,754666961947205632,1
19785,1496470650671833091,1
19787,4863959205,1
19830,1367973715,1
20072,51436105,1
20073,1421297727053434883,1
20105,2729521432,1
20165,596764803,1
20169,1377720037893672962,1
20182,1360341200990068741,1
20471,2709533144,1
20477,636526571,1
20526,1414943618104762374,1
20543,755522686684696576,1
20556,1250177731,1
20904,987137202,1
20911,4140519261,1
20966,1976222274,1
20967,1391322536,1
21039,959709902141886464,1
21272,1158071059561820162,1
21324,1364225080859926540,1
21863,819917515,1
22086,3302069128,1
22142,422181250,1
22217,1254737390083637249,1
22256,1383888672714477568,1
22750,1039443059082252288,1
22752,1480940741010538500,1
22768,1212034646,1
22840,1551211375,1
23474,3291305583,1
23583,426181894,1
23861,1490675805319532544,1
23872,2732751986,1
24327,468459701,1
24337,1237045959789613056,1
24467,1151120124730060801,1
24483,3589062442,1
24508,495157827,1
24509,1153176332,1
24767,2612291988,1
24931,797164623350919168,1
25306,315803133,1
25316,1020502986,1
25462,2523568577,1
25476,1438600206883377156,1
25601,434012273,1
25603,140414833,1
25604,422885835,1
25618,1367491115662913547,1
25797,1402688845,1
25871,973465514,1
25893,3233547113,1
25928,1111179646538842112,1
26786,1506815232,1
26800,412665412,1
26911,2951425072,1
27305,1415049041679892480,1
27328,1248766388354850821,1
27387,1036329954798129152,1
27848,241681696,1
27869,1159915009,1
27947,623716299,1
27968,1442130809872261127,1
27969,1006510829649518592,1
27983,1318848066,1
28192,971773373499002880,1
28253,1361665772465102853,1
28283,523687780,1
28321,73418713,1
28439,807513044,1
28647,428588499,1
28923,1036611673,1
29807,1246832425130483712,1
29923,2614877603,1
29924,3078402187,1
30049,1369753673463705605,1
30387,1445113546468122626,1
30399,1610290616,1
30425,1334587262689009664,1
30473,1442745694700326917,1
30593,448219061,1
30618,302484971,1
30706,2333638607,1
30720,593523410,1
30756,1422100694266482693,1
31247,1458875799617032200,1
31419,1268881206621409283,1
31542,1001472962300731392,1
31563,91968134,1
31587,1273313707393769473,1
31597,1491497267748085765,1
31614,1283784692,1
31969,582868879,1
32018,1383506379902574594,1
32054,856920898846240771,1
32099,1428328038371110912,1
32138,919909903837392896,1
32148,158106087,1
32201,3303206327,1
32267,600444803,1
32351,1249405307073089537,1
32476,2383579672,1
32488,1170199861,1
32525,1192343650887520256,1
32587,1487027546936037380,1
32738,2490049882,1
32746,1368152558,1
32891,1184147629673988096,1
33109,3431785763,1
33122,1320828699135090689,1
33125,1483906355689893894,1
33132,1329155931175858177,1
33135,439135797,1
33172,4428575837,1
33188,1385098619817271299,1
33192,1388269877291634688,1
33327,819540858462683136,1
33426,2845206706,1
33645,283188007,1
33670,2737028641,1
33806,1480600457663946758,1
33836,2847028163,1
33868,504817843,1
33959,912409564787757058,1
33960,586850523,1
33974,479467597,1
34098,4869405783,1
34409,1452372954893930506,1
34435,992520149830955011,1
34509,1938254768,1
34537,796501458,1
34908,2323083546,1
35097,50372471,1
35102,1423166823684509696,1
35576,3331801624,1
35617,992899908020719621,1
35625,1466267507459858432,1
36035,1485931340583378945,1
36761,630184043,1
36770,2752322571,1
36802,1495384655645888513,1
36836,1851884437,1
37007,4425579317,1
37008,4134285383,1
37267,1313495932554678272,1
37268,1422662400529010694,1
37280,1163389555,1
37303,3288652618,1
37545,1236969385748828166,1
37546,3084886731,1
37885,1156225273928527872,1
38393,3018792360,1
38553,1493615469517021187,1
38568,1333955098284855297,1
38584,2225612904,1
38607,1483488355631476738,1
38613,989109871340675072,1
38614,918822638,1
38626,447043590,1
38636,96761245,1
38661,400678013,1
38723,1018342890,1
38725,445411266,1
38884,1463758693355429891,1
38890,1465621357769764867,1
38926,434123289,1
39040,3137239850,1
39043,756862135817371648,1
39044,355545085,1
39095,1479398409568202753,1
39339,1435715007744983051,1
39875,1444729651998375936,1
39900,262539190,1
39917,103303397,1
40012,529487878,1
40043,1222227577,1
40129,252997533,1
40288,1328019864439676934,1
40309,701168995,1
40628,926102468,1
40639,1160549639571070976,1
40656,1478374857490501638,1
40678,1325538180444123138,1
40803,754395750499491840,1
40940,1496253551969980418,1
40941,1226265435127132160,1
40951,3107226245,1
41084,1453601148,1
41086,1417027356275974145,1
41126,299497681,1
41159,3138188655,1
41178,377399824,1
41302,199722427,1
41339,433604815,1
41365,1447311276762337290,1
41380,288223330,1
41411,432566115,1
41497,1470096222950248448,1
41521,1335927252526256128,1
41608,1303080273396019200,1
41610,913718930404990977,1
41882,1235621897796280320,1
42114,1573002116,1
42240,1475762335130300420,1
42283,1089301814309281795,1
42286,1074624854,1
42392,1337321407466889217,1
42457,1492509740,1
42803,3172430939,1
43419,2749292998,1
43656,1063923588,1
43747,1284453224,1
43761,1382258084567998469,1
43854,1374087042410418184,1
43915,350810508,1
44030,1446245624,1
44284,1270030680932712448,1
44287,513058103,1
44409,1248365893681283073,1
44535,1452989681319174146,1
44776,104993146,1
44785,230310402,1
44841,1324997161667485696,1
44943,1214203433219026946,1
44964,1353988796203884544,1
44987,110460168,1
45218,2391770325,1
45220,1437067632,1
45300,3070700175,1
45358,517930094,1
45405,597508821,1
45413,896354007719063552,1
45414,280690401,1
45420,978025632247549952,1
45488,432513377,1
45792,1349181451,1
45797,1238955925362421763,1
45911,1094253615420706816,1
46234,1464204725759483910,1
46236,1315672532578701314,1
46259,1026418206,1
46517,1467604549942882311,1
46705,1493517475073384449,1
46707,980074483,1
46742,1418479507154128898,1
46745,733416746267246592,1
46775,875760634037776384,1
46832,2743343511,1
46901,1404045789647810566,1
46964,1596839700,1
46968,1185135492385431552,1
46969,323743193,1
47130,430743919,1
47189,1143464532230201344,1
47216,9437162,1
47346,1264018218,1
47477,560572487,1
47543,1440704012584579078,1
47551,802232899626037249,1
47584,447452303,1
47699,1442362989164728322,1
47734,1479768795938009090,1
47748,999798813996003328,1
47750,1449426093266685954,1
47752,1143175728046977024,1
47873,2875666577,1
47881,1310523096751800322,1
47896,797679000,1
47898,1193103145821495296,1
47972,1497837891392880640,1
47974,1481522229724725249,1
48115,1427632842075475968,1
48389,1309036529608790016,1
48417,385831775,1
48418,1404691663667273732,1
48420,1015989050,1
48443,1172571984967942146,1
48588,858438226188611586,1
48726,1424800402508328960,1
48869,53644600,1
48871,1379378427099287554,1
48924,1456913732198600712,1
48979,611786696,1
48987,829518804958978048,1
49000,79214086,1
49116,617844082,1
49242,1019288033202405383,1
49556,1304915840161263626,1
49587,130502044,1
49715,395594857,1
49840,392552289,1
49992,2694588760,1
50039,888268895341035520,1
50151,933674217090019328,1
50172,1450851877969711110,1
50173,477093116,1
50191,1003891004028739584,1
50199,1461770378825633792,1
50297,890117916460449794,1
50314,711830999227899906,1
50565,1037692622,1
50663,1393088512925315072,1
50691,1232613215110074368,1
50800,797146299829276672,1
50870,1471927693,1
50877,988772702,1
50987,2959021829,1
51084,1440750347207593988,1
51130,186416827,1
51148,1487185932180758529,1
51320,1478636072863256576,1
51403,1242209219929157632,1
51434,1342502335361273856,1
51504,388739747,1
51524,880070456484737024,1
51529,2842808602,1
51773,1461075481902600195,1
51781,38903873,1
52029,494485848,1
52064,451707678,1
52066,2585035709,1
52076,1239183543382802434,1
52195,386096774,1
52225,729861715970658308,1
52721,568418849,1
52879,1490467644272791552,1
52987,1486037206657650698,1
53408,1378365746854641664,1
53414,992799917524516864,1
53599,3077196184,1
53706,2755564035,1
53762,91279460,1
53829,1208488978720141312,1
54038,1479909662678040579,1
54106,3010937596,1
54137,1025043644825444353,1
54156,836908221365432321,1
54165,3287576952,1
54274,1439079337366544387,1
54276,912792614843355138,1
54325,1420038511328169985,1
54340,1378259685535576065,1
54347,584077087,1
54432,1477734564076429313,1
54783,1261985035269308416,1
54893,1096333074,1
54903,312496137,1
54913,850324301450555392,1
55065,1037860298,1
55070,861666300,1
55220,4417304415,1
55323,994246141855322114,1
55441,976221937805479936,1
55523,237277628,1
55703,1473951785136148488,1
56010,189514982,1
56040,2387298926,1
56572,1458960764811845638,1
56599,4558858168,1
56703,80897489,1
56712,955778160,1
56714,1488988042681585671,1
56758,960987473122856961,1
56776,2687610973,1
56841,1460214484858028038,1
57042,1229014265673256961,1
57081,966681287741333504,1
57104,1484885839217934336,1
57105,1319345300578967554,1
57206,1090357716609101830,1
57481,1309012362620473345,1
57575,2685108817,1
57607,738344440851468288,1
57789,1459870010487320580,1
57828,1422573109413138434,1
57833,502018244,1
58233,3225971279,1
58378,1436670330953773062,1
58761,3024909893,1
58786,988008620456587264,1
59102,1152447624328425472,1
59245,1170008913758052353,1
59407,408660200,1
59429,965292818288791552,1
59436,1471966236363968517,1
59441,1476575186229071888,1
59559,1367596506954539013,1
59564,1449858710,1
59572,596497906,1
59578,187152000,1
59594,805983464814235649,1
59636,1421092472164339720,1
59671,1621013137,1
59738,1469631790654668801,1
59806,1227886183,1
59847,1111915132102344706,1
59929,1485942906003337216,1
59982,1344567326591606785,1
59987,831219408509030400,1
60118,1456960927128035330,1
60119,1106449976,1
60321,2717355074,1
60327,712365073,1
60572,872009898145533954,1
60713,4373034267,1
60806,773240110120927232,1
60945,2367030964,1
61019,1453390907865247747,1
61262,408756549,1
61496,1059469312652689408,1
61497,623848295,1
