,0,1
14,2.460619754680439,1
37,2.905653021442495,2
4,3.094477885370322,3
35,1.7015297047314124,4
33,0.7909516380655226,5
34,1.2911392405063291,6
7,1.8745910577971647,7
2,1.1620982986767485,8
1,2.318548387096774,9
31,0.3683749452474814,10
30,1.0170174652933273,11
17,0.736159169550173,12
6,2.555512271133619,13
21,3.7655908096280086,14
19,3.5553775743707092,15
26,1.7766875517200615,16
27,1.2181435585690905,17
28,1.3459399332591768,18
25,1.1948352283677008,19
32,1.7954835960801023,20
16,1.7692733308742161,21
13,2.7834164803027694,22
38,0.7898078621908127,23
40,3.390315218941663,24
0,3.6294946029022803,37
24,1.222320927622966,38
39,4.010503369005153,39
10,3.7191391348160945,40
23,1.8593719396748711,41
29,2.000810460341474,42
11,2.462236746550472,43
5,1.7098269930697512,44
20,1.320615034168565,45
15,1.6361465348426232,46
9,1.6689218213058419,47
22,1.1883666891537366,48
3,0.7154641328182103,49
12,0.5576994159828491,50
18,0.5521314344043163,51
8,0.6052376827839201,52
36,0.36475896461648066,53
